vertex,one,Q_one,Q2_one,Q3_one
996,1,14,120,1024
997,1,2,16,136
998,1,2,16,136
999,1,2,16,136
1000,1,2,16,136
1001,1,2,16,136
1002,1,2,16,136
1003,1,14,120,1024
1004,1,2,16,136
1005,1,2,16,136
1006,1,2,16,136
1007,1,2,16,136
1008,1,2,16,136
1009,1,2,16,136
1010,1,2,12,100
1011,1,2,12,100
1012,1,14,120,1024
1013,1,2,16,136
1014,1,2,16,136
1015,1,2,16,136
1016,1,2,16,136
1017,1,2,16,136
1018,1,2,16,136
1019,1,14,120,1024
1020,1,2,16,136
1021,1,2,16,136
1022,1,2,16,136
1023,1,2,16,136
1024,1,2,16,136
1025,1,2,16,136
1026,1,2,12,100
1027,1,2,12,100
1028,1,14,120,1024
1029,1,2,16,136
1030,1,2,16,136
1031,1,2,16,136
1032,1,2,16,136
1033,1,2,16,136
1034,1,2,16,136
1035,1,14,120,1024
1036,1,2,16,136
1037,1,2,16,136
1038,1,2,16,136
1039,1,2,16,136
1040,1,2,16,136
1041,1,2,16,136
1042,1,2,12,100
1043,1,2,12,100
1044,1,14,120,1024
1045,1,2,16,136
1046,1,2,16,136
1047,1,2,16,136
1048,1,2,16,136
1049,1,2,16,136
1050,1,2,16,136
1051,1,14,120,1024
1052,1,2,16,136
1053,1,2,16,136
1054,1,2,16,136
1055,1,2,16,136
1056,1,2,16,136
1057,1,2,16,136
1058,1,2,12,100
1059,1,2,12,100
1060,1,14,120,1024
1061,1,2,16,136
1062,1,2,16,136
1063,1,2,16,136
1064,1,2,16,136
1065,1,2,16,136
1066,1,2,16,136
1067,1,14,120,1024
1068,1,2,16,136
1069,1,2,16,136
1070,1,2,16,136
1071,1,2,16,136
1072,1,2,16,136
1073,1,2,16,136
1074,1,2,12,100
1075,1,2,12,100
1076,1,14,120,1024
1077,1,2,16,136
1078,1,2,16,136
1079,1,2,16,136
1080,1,2,16,136
1081,1,2,16,136
1082,1,2,16,136
1083,1,14,120,1024
1084,1,2,16,136
1085,1,2,16,136
1086,1,2,16,136
1087,1,2,16,136
1088,1,2,16,136
1089,1,2,16,136
1090,1,2,12,100
1091,1,2,12,100
1092,1,14,120,1024
1093,1,2,16,136
1094,1,2,16,136
1095,1,2,16,136
1096,1,2,16,136
1097,1,2,16,136
1098,1,2,16,136
1099,1,14,120,1024
1100,1,2,16,136
1101,1,2,16,136
1102,1,2,16,136
1103,1,2,16,136
1104,1,2,16,136
1105,1,2,16,136
1106,1,14,120,1024
1107,1,2,16,136
1108,1,2,16,136
1109,1,2,16,136
1110,1,2,16,136
1111,1,2,16,136
1112,1,2,16,136
1113,1,2,12,100
1114,1,2,12,100
1115,1,14,120,1024
1116,1,2,16,136
1117,1,2,16,136
1118,1,2,16,136
1119,1,2,16,136
1120,1,2,16,136
1121,1,2,16,136
1122,1,14,120,1024
1123,1,2,16,136
1124,1,2,16,136
1125,1,2,16,136
1126,1,2,16,136
1127,1,2,16,136
1128,1,2,16,136
1129,1,2,12,100
1130,1,2,12,100
1131,1,14,120,1024
1132,1,2,16,136
1133,1,2,16,136
1134,1,2,16,136
1135,1,2,16,136
1136,1,2,16,136
1137,1,2,16,136
1138,1,14,120,1024
1139,1,2,16,136
1140,1,2,16,136
1141,1,2,16,136
1142,1,2,16,136
1143,1,2,16,136
1144,1,2,16,136
1145,1,2,12,100
1146,1,2,12,100
1147,1,14,120,1024
1148,1,2,16,136
1149,1,2,16,136
